"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1823872";"SOMATOSTATIN";"SOMATOSTATIN|SRIF-14";"Protein";"3";"1637.91";"24";"117";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"0";"None";"None";"None";"None";"1636.7167";"None";"C76H104N18O19S2";"C[C@H](N)C(=O)NCC(=O)N[C@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC1=O";"NHXLMOGPVYXJNR-ATOGVRKGSA-N"
"CHEMBL1558";"PRAZOSIN HYDROCHLORIDE";"ALPHAVASE 0.5|ALPHAVASE 1|ALPHAVASE 2|ALPHAVASE 5|CP-12,299-1|CP-12299-1|HYPOVASE|HYPOVASE B.D.|KENTOVACE|MINIPRESS XL|Minipress|NSC-292810|PRAZOSIN HCL|PRAZOSIN HYDROCHLORIDE";"Small molecule";"4";"419.87";"109";"219";"1.78";"106.95";"8";"1";"0";"4";"N";"0.73";"None";"7.24";"1.65";"1.43";"3";"MOL";"0";"28";"9";"2";"0";"383.1594";"NEUTRAL";"C19H22ClN5O4";"COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC.Cl";"WFXFYZULCQKPIP-UHFFFAOYSA-N"
"CHEMBL707";"DOXAZOSIN";"C02CA04|Cardura|DOXAZOSIN|Doxazosin|UK-33274";"Small molecule";"4";"451.48";"153";"978";"1.72";"112.27";"9";"1";"0";"4";"N";"0.63";"12.67";"7.24";"2.14";"1.91";"3";"MOL";"0";"33";"10";"2";"0";"451.1856";"NEUTRAL";"C23H25N5O5";"COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC";"RUZYUOTYCVRMRZ-UHFFFAOYSA-N"
"CHEMBL1201731";"NEBIVOLOL HYDROCHLORIDE";"BYSTOLIC|NEBIVOLOL HCL|NEBIVOLOL HYDROCHLORIDE|R-067555|R067555|RO67555";"Small molecule";"4";"441.90";"5";"6";"2.36";"70.95";"5";"3";"0";"6";"N";"0.69";"13.52";"8.90";"3.21";"1.71";"2";"MOL";"0";"29";"5";"3";"0";"405.1752";"BASE";"C22H26ClF2NO4";"Cl.OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1";"JWEXHQAEWHKGCW-UHFFFAOYSA-N"
"CHEMBL3545347";"TXA127";"5-ILE-ANGIOTENSIN-(1-7)|ANGIOTENSIN (1-7)|ANGIOTENSIN 1-7|ANGIOTENSIN FRAGMENT 1-7|ANGIOTENSIN PEPTIDE (1-7)|ANGIOTENSIN-(1-7)|ASP-ARG-VAL-TYR-ILE-HIS-PRO|BF-ANGIOTENSIN 1-7|HUMAN ANGIOTENSIN II (1-7)|SH-HEPTAPEPTIDE-13|TXA-127|TXA127";"Protein";"2";"899.02";"2";"7";"-1.83";"377.24";"12";"13";"3";"25";"N";"0.03";"3.35";"11.46";"-6.34";"-6.31";"2";"BOTH";"0";"64";"23";"15";"3";"898.4661";"ZWITTERION";"C41H62N12O11";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O";"PVHLMTREZMEJCG-GDTLVBQBSA-N"
"CHEMBL1200326";"NICARDIPINE HYDROCHLORIDE";"BARIZIN|CARDENE SR|CARDEPINE|Cardene|DACAREL|LECIBRA|LECIBRAL|LESCODIL|LOXEN|NERDIPINA|NICANT|NICAPRESS|NICARDAL|NICARDIPINE HCL|NICARDIPINE HYDROCHLORIDE|NICARPIN|NICODEL|NIMICOR|NSC-757855|PERDIPINA|PERDIPINE|RANVIL|RIDENE|RS-69216|RS-69216-XX-07-0|RS-69216XX07-0|RYCARDEN|RYDENE|VASODIN|VASONASE|YC-93";"Small molecule";"4";"515.99";"36";"72";"3.68";"111.01";"8";"1";"0";"9";"N";"0.33";"None";"8.10";"3.56";"2.78";"2";"MOL";"0";"35";"9";"1";"0";"479.2056";"NEUTRAL";"C26H30ClN3O6";"COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl";"AIKVCUNQWYTVTO-UHFFFAOYSA-N"
"CHEMBL374478";"RIFAMPIN";"ABRIFAM|BA 411661E|BA-41166E|EREMFAT|L-5103|L-5103 LEPETIT|L-5103-LEPETIT|NIH-10782|NSC-113926|RIFADINE|RIFALDAZINE|RIFALDIN|RIFAMPICIN|RIFAMPICINUM|RIFAMPIN|RIFAMYCIN AMP|RIFAPIAM|RIFAPRODIN|RIFOLDIN|RIMACTAN|Rifadin|Rifampicin|Rimactane";"Small molecule";"4";"822.95";"322";"6932";"4.34";"220.15";"15";"6";"3";"4";"N";"0.11";"6.80";"7.37";"2.95";"2.87";"2";"MOL";"0";"59";"16";"6";"3";"822.4051";"NEUTRAL";"C43H58N4O12";"CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C";"JQXXHWHPUNPDRT-WLSIYKJHSA-N"
"CHEMBL1164729";"FEBUXOSTAT";"ADENURIC|FEBUXOSTAT|NSC-758874|TMX-67|ULORIC";"Small molecule";"4";"316.38";"23";"97";"3.72";"83.21";"5";"1";"0";"5";"N";"0.91";"3.08";"0.39";"3.52";"0.06";"2";"MOL";"0";"22";"5";"1";"0";"316.0882";"ACID";"C16H16N2O3S";"Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O";"BQSJTQLCZDPROO-UHFFFAOYSA-N"
"CHEMBL1200574";"SODIUM CHLORIDE";"0.9% NACL|0.9% SALINE|0.9% SALINE SOLUTION|10% SODIUM CHLORIDE INJECTION|AQSIA (BALANCED SALT SOLN)|ASKINA|ASKINA JET|B1655|BALANCED SALT|BRONCHO SALINE|BSS (BALANCED SALT SOLN)|FLOWFUSOR|FRESENIUS|HYPROMELLOSE IN RINGERS SOLN|IOCARE (BALANCED SALT SOLN)|IRRICLENS|ISOT SALINE|ISOTONIC|ISOTONIC SALINE|LABMIST|LOCKES|LS-1700|MACOPERF|MINIVERSOL|MURO 128|NACL 0.9%|NINE LIVES|NORMAL SALINE|NORMASOL|NSC-77364|OFT CUSI ANTIEDEMA|OPTIFLO S|PHYSIOMER|RINGER'S|RINGER-LOCKE|RNS-60 COMPONENT SALINE|RNS60 COMPONENT SALINE|S-CHLOR SF|SALEX|SALINE|SALINE SOLUTION|SALINE STERIPOULE|SALINEX|SEA WATER|SLOW SOD|SODICLOR|SODIUM CHLORIDE|SODIUM CHLORIDE 14.6%|SODIUM CHLORIDE 23.4%|SODIUM CHLORIDE SOLUTION|SODIUM CHLORIDE, HYPERTONIC|STERAC|STERI-WASH|STERIJET|SYRISAL|Sodium Chloride, Hypertonic|TOPICLENS|TUBILUX|Table Salt|URIFLEX-S|URIFLEX-SP|UROCLENS|VITACLEAN";"Small molecule";"4";"58.44";"15";"136";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"57.9586";"None";"ClNa";"[Cl-].[Na+]";"FAPWRFPIFSIZLT-UHFFFAOYSA-M"
"CHEMBL1200458";"POTASSIUM CITRATE";"E-332(II)|E332|INS NO.332(II)|INS-332(II)|NSC-760107|POTASSIUM CITRATE|POTASSIUM CITRATE MONOHYDRATE|Potassium citrate|UROCIT-K";"Small molecule";"4";"306.39";"2";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"305.8946";"None";"C6H5K3O7";"O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]";"QEEAPRPFLLJWCF-UHFFFAOYSA-K"
"CHEMBL419213";"LISINOPRIL";"ACEMIN|CARACE|LISINOPRIL|LISINOPRIL DIHYDRATE|LISINOPRIL HYDRATE|LISOPRESS|MK-521|Prinivil|QBRELIS|RANOLIP|Zestril";"Small molecule";"4";"441.53";"11";"26";"1.24";"132.96";"5";"4";"0";"12";"N";"0.38";"3.17";"10.21";"-3.10";"-3.18";"1";"MOL";"0";"29";"8";"5";"0";"405.2264";"ZWITTERION";"C21H35N3O7";"NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O";"CZRQXSDBMCMPNJ-ZUIPZQNBSA-N"
"CHEMBL413";"SIROLIMUS";"AY-22989|L04AA10|NPC-12G|NSC-226080|RAPALIMUS|RAPAMYCIN|Rapamune|SIROLIMUS|SM-88 COMPONENT SIROLIMUS|WY-090217";"Small molecule";"4";"914.19";"948";"2648";"6.18";"195.43";"13";"3";"3";"6";"N";"0.16";"9.96";"None";"7.45";"7.45";"0";"MOL";"0";"65";"14";"3";"3";"913.5551";"NEUTRAL";"C51H79NO13";"CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C";"QFJCIRLUMZQUOT-HPLJOQBZSA-N"
"CHEMBL945";"AMILORIDE";"AMICLARAN|AMILORIDE|Amiloride|Hydro-Ride|Midamor";"Small molecule";"4";"229.63";"177";"828";"-1.08";"156.79";"6";"5";"0";"1";"N";"0.30";"11.43";"7.35";"-0.50";"-0.77";"1";"MOL";"0";"15";"8";"8";"1";"229.0479";"NEUTRAL";"C6H8ClN7O";"N=C(N)NC(=O)c1nc(Cl)c(N)nc1N";"XSDQTOBWRPYKKA-UHFFFAOYSA-N"
"CHEMBL4297557";"MICROCRYSTALLINE CELLULOSE";"CELLULOSE|CELLULOSE MICROCRYSTALLINE|MICROCRYSTALLINE CELLULOSE";"Unknown";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3545153";"DE-104";"DE-104";"Small molecule";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL1726";"NISOLDIPINE";"BAY K 5552|BAY-K-5552|BAYMYCARD|GEOMATRIX 16E|NISOLDIPIN|NISOLDIPINE|NISOLDIPINE (STN)|NSC-759106|SYSCOR MR 10|SYSCOR MR 20|SYSCOR MR 30|Sular";"Small molecule";"4";"388.42";"148";"864";"3.20";"107.77";"7";"1";"0";"6";"N";"0.45";"None";"None";"3.06";"3.06";"1";"MOL";"0";"28";"8";"1";"0";"388.1634";"NEUTRAL";"C20H24N2O6";"COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]";"VKQFCGNPDRICFG-UHFFFAOYSA-N"
"CHEMBL406";"INDAPAMIDE";"ARIFON|BAJATEN|CARDIDE SR|DAMIDE|ETHIBIDE XL|FLUBEST|FLUDEX|FLUDIN|FLUPAMID|INDAFLEX|INDAMIDE|INDAMOL|INDAPAMIDE|INDAXA 2.5|INDIPAM XL|IPAMIX|KYD-041|LORVAS|Lozol|MAPEMID XL|NATRILIX|NATRILIX SR|NATRIX|NINDAXA 2.5|NORANAT|NSC-757075|OPUMIDE 2.5|RAWEL XL|S-1520|SE-1520|TANDIX|TENSAID XL|TERTENSIF|VARBIM XL|VEROXIL";"Small molecule";"4";"365.84";"166";"479";"2.08";"92.50";"4";"2";"0";"3";"N";"0.87";"8.85";"0.10";"2.64";"2.63";"2";"MOL";"0";"24";"6";"3";"0";"365.0601";"NEUTRAL";"C16H16ClN3O3S";"CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1";"NDDAHWYSQHTHNT-UHFFFAOYSA-N"
"CHEMBL1737";"SILDENAFIL CITRATE";"NSC-744009|NSC-758669|REVATIO|SILDENAFIL (AS CITRATE)|SILDENAFIL CITRATE|UK-92,480-10|UK-92480-10|Viagra";"Small molecule";"4";"666.71";"26";"62";"1.61";"113.42";"8";"1";"0";"7";"N";"0.55";"7.63";"5.98";"1.23";"1.16";"3";"MOL";"0";"33";"10";"1";"0";"474.2049";"NEUTRAL";"C28H38N6O11S";"CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O";"DEIYFTQMQPDXOT-UHFFFAOYSA-N"
"CHEMBL129482";"(+)-EPICATECHIN";"(+)-EPICATECHIN|Epicatechin";"Small molecule";"2";"290.27";"22";"50";"1.55";"110.38";"6";"5";"0";"1";"N";"0.51";"9.00";"None";"1.80";"1.78";"2";"MOL";"0";"21";"6";"5";"0";"290.0790";"NEUTRAL";"C15H14O6";"Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2";"PFTAWBLQPZVEMU-ZFWWWQNUSA-N"
"CHEMBL3696475";"MK-7145";"MK-7145";"Small molecule";"1";"466.53";"19";"75";"2.03";"99.54";"8";"2";"0";"6";"N";"0.62";"13.30";"7.27";"2.36";"2.12";"2";"MOL";"0";"34";"8";"2";"0";"466.2104";"NEUTRAL";"C26H30N2O6";"Cc1c([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O";"OCKGFTQIICXDQW-ZEQRLZLVSA-N"
"CHEMBL1200799";"TRAVOPROST";"AL-6221|IZBA|NSC-760366|OTX-TP|TRAVATAN Z|TRAVOPROST|Travatan";"Small molecule";"4";"500.55";"7";"20";"4.43";"96.22";"6";"3";"1";"12";"N";"0.22";"13.95";"None";"3.84";"3.84";"1";"MOL";"0";"35";"6";"3";"1";"500.2386";"NEUTRAL";"C26H35F3O6";"CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1";"MKPLKVHSHYCHOC-AHTXBMBWSA-N"
"CHEMBL2062257";"BRIMONIDINE TARTRATE";"AGN 190342-LF|AGN-190342-LF|AGN-190342LF|ALPHAGAN P|Alphagan|BRIMONIDINE D-TARTRATE|BRIMONIDINE TARTRATE|BROMOXIDINE TARTRATE|BRYMONT|CD-07805|LUMIFY|MIRVASO|OCU-300|OCU300|QOLIANA|UK-14304-18|UK-1430418";"Small molecule";"4";"442.23";"";"";"1.76";"62.20";"5";"2";"0";"1";"N";"0.84";"None";"8.32";"1.37";"0.42";"2";"MOL";"0";"17";"5";"2";"0";"291.0120";"NEUTRAL";"C15H16BrN5O6";"Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)C(O)C(O)C(=O)O";"QZHBYNSSDLTCRG-UHFFFAOYSA-N"
"CHEMBL3544986";"PERINDOPRIL ARGININE";"PERINDOPRIL ARGININE";"Small molecule";"4";"542.68";"";"";"1.94";"95.94";"5";"2";"0";"8";"N";"0.64";"3.79";"5.48";"0.63";"-0.85";"0";"MOL";"0";"26";"7";"2";"0";"368.2311";"ACID";"C25H46N6O7";"CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC.N=C(N)NCCC[C@H](N)C(=O)O";"RYCSJJXKEWBUTI-YDYAIEMNSA-N"
"CHEMBL1642";"IMATINIB MESYLATE";"GLEEVEC|GLIVEC|Gleevec|IMATINIB (AS MESILATE)|IMATINIB ACCORD|IMATINIB MEDAC|IMATINIB MESILATE|IMATINIB MESYLATE|IMATINIB METHANE SULFONATE|IMATINIB METHANESULFONATE|Imatinib mesylate|NSC-716051|QTI-571|QTI571|STI 571|STI-571|STI571";"Small molecule";"4";"589.72";"121";"876";"4.59";"86.28";"7";"2";"0";"7";"N";"0.39";"12.69";"7.84";"4.38";"3.80";"4";"MOL";"0";"37";"8";"2";"0";"493.2590";"NEUTRAL";"C30H35N7O4S";"CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1";"YLMAHDNUQAMNNX-UHFFFAOYSA-N"
"CHEMBL51";"KETANSERIN";"KETANSERIN|KETANSERIN TARTRATE|KJK 945|NSC-758959|PERKETAN|R 49945|R-41,468|R-41468|R-49945|SEREPRESS|SUFREXAL";"Small molecule";"4";"395.43";"98";"335";"2.42";"75.17";"5";"1";"0";"5";"N";"0.67";"11.82";"7.29";"3.61";"3.36";"3";"MOL";"0";"29";"6";"1";"0";"395.1645";"NEUTRAL";"C22H22FN3O3";"O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1";"FPCCSQOGAWCVBH-UHFFFAOYSA-N"
"CHEMBL2107826";"VIBEGRON";"GEMTESA|KRP-114V|MK4618|VIBEGRON|Vibegron";"Small molecule";"4";"444.54";"37";"99";"2.77";"96.25";"6";"3";"0";"6";"N";"0.54";"12.46";"10.61";"2.38";"-0.40";"3";"MOL";"0";"33";"7";"3";"0";"444.2161";"BASE";"C26H28N4O3";"O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21";"DJXRIQMCROIRCZ-XOEOCAAJSA-N"
"CHEMBL2103784";"COSYNTROPIN";"CORTICOTROPIN TETRACOSAPEPTIDE|COSYNTROPIN|COSYNTROPIN ACETATE|COSYNTROPIN HEXAACETATE|Cortrosyn|SYNACTHEN|SYNACTHEN DEPOT|TETRACOSACTIDE|TETRACOSACTIDE ACETATE|TETRACOSACTIDE HEXAACETATE|TETRACOSACTIDE HEXACETATE|TETRACOSACTRIN|VICOTROPE";"Protein";"4";"2933.49";"4";"7";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"0";"None";"None";"None";"None";"2931.5806";"None";"C136H210N40O31S";"CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)O)C(C)C)C(C)C)C(C)C";"ZOEFCCMDUURGSE-SQKVDDBVSA-N"
"CHEMBL962";"EPOPROSTENOL SODIUM";"EPOPROSTENOL SODIUM|EPOPROSTENOLSODIUM|Flolan|PROSTACYCLIN SODIUM SALT|SODIUM PROSTACYCLIN|U-53,217A|U-53217A|VELETRI";"Small molecule";"4";"374.45";"9";"27";"3.41";"86.99";"4";"3";"0";"10";"N";"0.41";"4.43";"None";"2.42";"-0.45";"0";"MOL";"0";"25";"5";"3";"0";"352.2250";"ACID";"C20H31NaO5";"CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C\CCCC(=O)[O-])C[C@@H]21.[Na+]";"LMHIPJMTZHDKEW-XQYLJSSYSA-M"
